Edad;qx;ni
0;0.00641;123
1;0.00045;341
2;0.00028;23
3;0.00023;123
4;0.00017;344
5;0.00016;32
6;0.00014;234
7;0.00011;345
8;0.00013;345
9;0.00012;234
10;0.00013;234
11;0.00013;699
12;0.00014;747
13;0.00019;459
14;0.00026;779
15;0.00034;502
16;0.00046;565
17;0.00066;722
18;0.00085;391
19;0.00102;580
20;0.00112;354
21;0.00125;523
22;0.00134;724
23;0.00137;768
24;0.00142;266
25;0.00146;581
26;0.00142;290
27;0.00151;541
28;0.00151;425
29;0.00164;216
30;0.00159;222
31;0.00164;345
32;0.00172;512
33;0.00177;170
34;0.00183;268
35;0.00188;299
36;0.0019;227
37;0.002;538
38;0.00206;475
39;0.00212;217
40;0.00219;184
41;0.00234;236
42;0.00252;204
43;0.00265;104
44;0.00297;261
45;0.0031;498
46;0.00343;462
47;0.00365;404
48;0.00405;409
49;0.00455;128
50;0.00501;249
51;0.00555;380
52;0.00602;283
53;0.00662;346
54;0.00729;179
55;0.00778;34
56;0.00844;11
57;0.00928;45
58;0.00992;140
59;0.01063;87
60;0.01144;35
61;0.0123;70
62;0.01324;77
63;0.01452;7
64;0.01499;7
65;0.0159;6
66;0.01696;10
67;0.01786;6
68;0.02038;10
69;0.02003;7
70;0.02286;6
71;0.02529;8
72;0.02821;6
73;0.02963;5
74;0.03234;8
75;0.03557;9
76;0.03888;10
77;0.04302;5
78;0.04658;8
79;0.05154;7
80;0.0581;6
81;0.06373;8
82;0.07084;6
83;0.07834;9
84;0.08735;10
85;0.0961;5
86;0.106;10
87;0.12187;2
88;0.13382;3
89;0.14247;3
90;0.15511;2
91;0.17404;2
92;0.19526;1
93;0.22051;1
94;0.2421;1
95;0.25945;1
96;0.28274;2
97;0.30725;2
98;0.3329;1
